,artist,track,uri,time,ms_played
23127,COIN,Sagittarius Superstar (feat. Faye Webster),spotify:track:50NIEDq6xm6K4CDp8mpcTh,2022-05-24 19:40,850
23128,Surfaces,Little Saint Nick - Spotify Singles Holiday,spotify:track:783uQjYQHG88UbHRuM16K4,2022-05-24 19:40,99710
23129,Post Malone,Stay,spotify:track:4H7WNRErSbONkM06blBoGc,2022-05-24 19:40,770
23130,NOTD,So Close,spotify:track:7FjZU7XFs7P9jHI9Z0yRhK,2022-05-24 19:40,910
23131,Fleetwood Mac,Never Going Back Again - Acoustic Duet,spotify:track:6W9ANRwvNdorYlMIuNIClv,2022-05-24 19:43,139546
23132,Mike Zito,Mississippi Nights,spotify:track:4FdgENJLxPqHFu9kX3iR4j,2022-05-24 19:47,260033
23133,Kendrick Lamar,For Free? - Interlude,spotify:track:75izAeHlGuOgA865CFDyIv,2022-05-24 19:49,130893
23134,Jeremy Zucker,you were good to me - shallou remix,spotify:track:4yQluMXsIRql36ErBHux2f,2022-05-24 19:53,229205
23135,Moses Sumney,Colouour,spotify:track:5pWCBzDSlwoZHozY9XPnr3,2022-05-24 19:56,187600
23136,DanDlion,BETTERMAN,spotify:track:4epXyYUOxtpwI0QTrlLCZ7,2022-05-24 19:59,870
23137,The Chainsmokers,Roses,spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,2022-05-24 19:59,980
23138,Pomplamoose,Every Breath You Take + 500 Miles Mashup,spotify:track:7JL23oaJWVuuv97u6vukpx,2022-05-24 19:59,1890
23139,Eric Reprid,June Blues,spotify:track:4WvApvScQ8ofzDIqgpScmb,2022-05-24 19:59,187964
23140,Gary Clark Jr.,The Healing - Live,spotify:track:7ps563YUuN1flAFngUcvJg,2022-05-24 19:59,1150
23141,The Dip,Adeline,spotify:track:3wZqS73n0ivz3o6yPZPjxI,2022-05-24 19:59,870
23142,The Last Mr. Bigg,Top Down (feat. Lil' Flip),spotify:track:4x0LdLECCELxJ9H2KTJE1Q,2022-05-24 19:59,2606
23143,Tame Impala,Feels Like We Only Go Backwards,spotify:track:0LtOwyZoSNZKJWHqjzADpW,2022-05-24 19:59,2090
23144,Whiskey Myers,Stone,spotify:track:4rJesaufMl2xD0f2G8Xgnd,2022-05-24 19:59,1050
23145,Joji,Mr. Hollywood,spotify:track:4OxQ9sBdJCndBzQNuGorr7,2022-05-24 19:59,990
23146,Lauv,Fake,spotify:track:1oz3gEoNWHAS3pjwThdSJb,2022-05-24 19:59,1060
23147,Pomplamoose,Every Breath You Take + 500 Miles Mashup,spotify:track:7JL23oaJWVuuv97u6vukpx,2022-05-24 20:02,180699
23148,Tame Impala,Feels Like We Only Go Backwards,spotify:track:0LtOwyZoSNZKJWHqjzADpW,2022-05-24 20:06,192960
23149,H.E.R.,Do To Me,spotify:track:2tfY5A60urfzfAvlfTHQQ2,2022-05-24 20:07,1090
23150,GUM,The Blue Marble,spotify:track:4qvPp0Lt3MWWwHVb72Taox,2022-05-24 20:07,1020
23151,Skrillex,HUMBLE. - SKRILLEX REMIX,spotify:track:65ES1qwOB577ZnTkizMXJJ,2022-05-24 20:07,1090
23152,Jimi Hendrix,Georgia Blues,spotify:track:1hRZUpohbhw2WUtWQo3K9x,2022-05-24 20:07,960
23153,Phil Cook,Steampowered Blues,spotify:track:5p6JFrk3tHw1RdCh1kBwH7,2022-05-24 20:07,990
23154,Tayla Parx,Runaway (feat. Khalid),spotify:track:6mXMILvElYiWu4fa9oaJXe,2022-05-24 20:07,1230
23155,Sabaton,The Lost Battalion,spotify:track:6HlcJ8rDBZiIyzrfTkCY8R,2022-05-24 20:07,890
23156,Busty and the Bass,"Summer - From St. James United Church, Montreal, Quebec",spotify:track:2tuLQjlenuGrgDDhRfunqO,2022-05-24 20:07,1040
23157,Lady A,You Look Good,spotify:track:1dFLowBW25EaL2OC7eKEa2,2022-05-24 20:07,1110
23158,Dua Lipa,Love Is Religion (The Blessed Madonna Remix),spotify:track:3q4cfRBOyj4WqQYV9HrsUh,2022-05-24 20:07,840
23159,Foo Fighters,FFL (Fat Fucking Lie),spotify:track:7sqI7aeFT6y5czivjf41yl,2022-05-24 20:07,990
23160,Johnny Cash,One Piece at a Time,spotify:track:1sueD22EyCamMjdQu9Kuo3,2022-05-24 20:07,800
23161,Galantis,Peanut Butter Jelly,spotify:track:3aIhJDHxr1kgTSnutJxPTH,2022-05-24 20:07,860
23162,Paul McCartney,Coming Up - Remastered 2011,spotify:track:4Ku6X72Q815qNd7ChuiDdD,2022-05-24 20:07,960
23163,Kendrick Lamar,GOD.,spotify:track:5p3NP9mQblDsVJLdfNZJ3I,2022-05-24 20:07,1010
23164,La Roux,"Automatic Driver - Tyler, The Creator Remix",spotify:track:59S3SiDxj914oyXd25zt3j,2022-05-24 20:07,880
23165,Mo Lowda & the Humble,She Used To,spotify:track:46PtTt98OlKq0yHNBHw6eZ,2022-05-24 20:07,880
23166,RADWIMPS,SHINSEKAI,spotify:track:6pnMuubrDJH3g8rKPwHVnn,2022-05-24 20:07,85570
23167,Qari,Retrospective,spotify:track:2KG9jQBb1UJCqq7lQ8clsV,2022-05-24 20:07,1290
